# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 190228 b,Confirmed,24.0,24.0,0.0,,,,,,,1146.0,16.0,16.0,2.0,0.5,0.5,0.5,0.04,0.04,4.5,2.1,2.1,0.030253,2002,2023-03-16,107.0,3.2,3.2,1236.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 190228,300.75,28.3066667,7.3,,,,,66.11,,,-0.24,,,1.3,,,3.02,0.33,0.33,G5IV,10.16,,,5176.0,,,,,
HD 196885 A b,Confirmed,3.394,0.264,0.7,,,,,,,1326.0,6.0,0.1,2.383,0.04,0.02,0.444,0.05,0.017,,,,,2007,2022-11-03,150.2,3.0,9.5,1272.9,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 196885 A,309.9625,11.2494444,6.4,,,,,33.0,1.0,1.0,0.29,0.05,0.05,1.33,,,1.79,0.17,0.17,F8V,2.0,0.5,0.5,6340.0,39.0,39.0,,,
HD 202206 (AB) c,Confirmed,17.9,1.8,2.9,,,,,,,1260.0,11.0,11.0,2.41,,,0.22,0.03,0.03,7.7,1.1,1.1,0.055028,2004,2018-07-31,280.0,4.0,4.0,2453103.0,452.0,452.0,,,,,,,,,,,,,,,,,,,41.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 202206 A,318.7375,-20.7891667,8.08,,,,,45.54,0.25,0.25,0.37,0.07,0.07,1.13,,,1.02,,,G8 V,2.04,,,5750.0,75.0,75.0,IR Excess,,
HD 206893 c,Confirmed,12.7,1.0,1.2,,,,1.46,0.06,0.18,2082.0,183.0,183.0,3.53,0.06,0.08,0.41,0.03,0.03,150.9,3.0,2.9,,2019,2023-01-02,183.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.9,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Flux,,,HD 206893,326.341666674,-12.783333349,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1.0,1.0,6486.0,,,,,
HD 209458 b,Confirmed,0.69,0.017,0.017,,0.017,0.017,1.38,0.018,0.018,3.52472,2.82e-05,2.82e-05,0.04747,0.00055,0.00055,0.0082,0.0082,0.0078,86.59,0.046,0.046,0.00101,1999,2022-07-11,43.8,68.0,68.0,2452968.399,,,,,,2453344.76824,0.000617,0.000617,,,,,,,,,,,0.021,0.021,84.3,0.88,0.88,,,,,,0.038,0.045,0.045,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,,"C, C2H2, CH4, CO, CO2, Ca, Fe, Fe+, H, H2, H2O, HCN, He, K, Mg, Mn, NH3, Na, O I, O2, Sc, TiO, V, VO",HD 209458,330.7916667,18.8844444,7.65,,,,,47.0,,,0.02,0.05,0.05,1.148,0.022,0.022,1.203,0.061,0.061,G0 V,4.0,2.0,2.0,6092.0,103.0,103.0,,,
HD 219134 c,Confirmed,0.01246,0.00107,0.00107,0.004754,0.000148,0.000148,0.12624,0.00437,0.00437,6.765159,3.6e-05,3.3e-05,0.062,,,0.0,0.0,0.26,,,,,2015,2021-02-16,,,,2449908.5,0.5,0.5,,,,2458766.16927,0.00066,0.00069,,,,,,,,,,,,,1.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Theoretical,Primary Transit,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,
HD 219134 d,Confirmed,0.05236,,,0.067,0.004,0.004,,,,46.71,0.01,0.01,0.225,,,0.0,,,,,,,2015,2019-09-24,,,,2449964.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,
HD 3651 b,Confirmed,0.23,0.013,0.297,0.228,0.011,0.011,,,,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83.0,56.0,56.0,0.025818,2003,2019-03-04,243.0,3.0,3.0,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,16.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"54 Psc b, 54 Piscium A b",,HD 3651,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173.0,,,IR Excess,,54 Psc
HD 38529 b,Confirmed,0.93,0.11,0.21,0.78,,,,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,57.0,14.0,14.0,0.003335,2000,2011-05-10,95.9,1.7,1.7,50020.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697.0,,,IR Excess,,
HD 38529 c,Confirmed,23.7,3.1,4.1,17.7,1.4,1.7,,,,2134.76,0.4,0.4,3.695,0.043,0.043,0.36,0.003,0.003,48.3,4.0,4.0,0.094068,2002,2014-05-26,22.52,0.7,0.7,48002.0,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697.0,,,IR Excess,,
